market_id,created_at_date ,created_at_time ,actual_delivery_date,actual_delivery_time,store_primary_category,order_protocol,total_items,subtotal,num_distinct_items,min_item_price,max_item_price,total_onshift_dashers,total_busy_dashers,total_outstanding_orders,estimated_store_to_consumer_driving_duration
1,06-02-2015,22:24:17,06-02-2015,23:11:17,4,1,4,3441,4,557,1239,33,14,21,861
2,10-02-2015,21:49:25,10-02-2015,22:33:25,46,2,1,1900,1,1400,1400,1,2,2,690
2,16-02-2015,00:11:35,16-02-2015,01:06:35,36,3,4,4771,3,820,1604,8,6,18,289
1,12-02-2015,03:36:46,12-02-2015,04:35:46,38,1,1,1525,1,1525,1525,5,6,8,795
1,27-01-2015,02:12:36,27-01-2015,02:58:36,38,1,2,3620,2,1425,2195,5,5,7,205
1,06-02-2015,00:42:42,06-02-2015,01:38:42,38,1,3,4475,3,925,1825,4,1,1,542
1,08-02-2015,02:04:17,08-02-2015,03:07:17,38,1,3,4375,3,1325,1625,6,4,3,789
1,31-01-2015,04:35:54,31-01-2015,05:33:54,38,1,2,3150,2,1425,1725,4,9,12,548
1,31-01-2015,02:21:23,31-01-2015,02:58:23,46,1,2,950,2,150,700,24,24,26,212
1,31-01-2015,23:45:12,01-02-2015,00:26:12,46,1,5,1285,3,150,400,12,13,11,424
1,17-02-2015,03:13:20,17-02-2015,04:08:20,38,1,4,5800,4,700,2000,19,19,30,344
1,15-02-2015,01:26:20,15-02-2015,02:11:20,38,1,2,2800,2,1200,1600,21,17,16,421
1,02-02-2015,05:27:49,02-02-2015,06:54:49,38,1,7,14900,5,1200,3900,8,11,11,901
1,16-02-2015,02:21:20,16-02-2015,03:28:20,38,1,3,3400,3,1400,2100,22,21,39,501
1,13-02-2015,01:01:58,13-02-2015,01:44:58,38,1,3,3800,3,700,1600,16,9,7,344
1,24-01-2015,02:01:20,24-01-2015,02:43:20,38,1,1,1800,1,1800,1800,27,25,24,424
1,10-02-2015,04:36:39,10-02-2015,05:34:39,38,1,4,5800,4,700,2000,13,16,27,344
1,26-01-2015,02:09:48,26-01-2015,03:04:48,38,1,3,3800,3,800,1800,21,18,20,530
1,07-02-2015,01:44:26,07-02-2015,02:28:26,38,1,1,1800,1,1800,1800,22,21,20,434
1,30-01-2015,01:43:09,30-01-2015,02:29:09,38,1,2,2700,2,1200,1500,16,16,13,456
3,30-01-2015,19:49:30,30-01-2015,20:29:30,58,2,4,3490,3,175,850,16,16,21,298
2,09-02-2015,20:29:30,09-02-2015,21:09:30,68,5,1,1220,1,825,825,21,21,20,835
1,27-01-2015,18:32:58,27-01-2015,19:09:58,15,4,2,595,2,200,295,5,1,1,186
4,07-02-2015,01:36:34,07-02-2015,02:35:34,38,1,4,5500,4,700,1900,117,112,178,588
4,14-02-2015,03:04:07,14-02-2015,04:11:07,38,1,5,5400,3,600,2200,130,129,230,795
4,08-02-2015,02:50:54,08-02-2015,03:54:54,38,1,4,7104,3,751,2191,121,119,205,530
3,12-02-2015,03:12:08,12-02-2015,03:46:08,4,5,5,6200,5,500,1800,34,30,28,86
3,18-02-2015,04:26:00,18-02-2015,05:11:00,4,5,2,2800,2,1000,1800,18,15,15,821
3,15-02-2015,04:09:59,15-02-2015,04:51:59,4,5,4,5800,4,600,2400,33,33,42,179
3,17-02-2015,21:34:38,17-02-2015,22:06:38,4,5,2,2641,2,625,1240,27,22,24,89
3,14-02-2015,05:34:07,14-02-2015,06:22:07,4,5,2,2500,2,600,1900,17,13,12,898
3,06-02-2015,03:03:15,06-02-2015,03:48:15,4,5,3,3300,3,600,1800,38,37,43,648
3,17-02-2015,01:14:22,17-02-2015,02:17:22,4,5,4,5100,4,500,1900,16,16,26,1056
3,01-02-2015,04:39:28,01-02-2015,05:36:28,4,5,4,3500,4,600,1200,20,29,33,887
3,23-01-2015,00:38:47,23-01-2015,01:16:47,4,5,3,3500,3,500,1900,16,5,5,271
3,22-01-2015,20:31:45,22-01-2015,21:09:45,4,5,2,3600,1,1800,1800,21,21,21,469
3,26-01-2015,22:22:56,26-01-2015,23:14:56,4,5,7,9000,7,600,2400,15,12,11,679
3,10-02-2015,03:05:36,10-02-2015,03:45:36,4,5,3,4709,3,1197,1596,34,29,30,551
3,23-01-2015,21:06:30,23-01-2015,21:52:30,4,5,2,2800,2,1000,1800,21,23,24,828
3,25-01-2015,02:16:56,25-01-2015,03:13:56,4,5,10,9800,6,600,1200,39,37,37,723
3,28-01-2015,03:31:13,28-01-2015,04:20:13,4,5,2,2800,2,1000,1800,21,23,27,828
3,31-01-2015,01:44:15,31-01-2015,02:24:15,4,5,2,2800,2,1300,1500,26,25,24,470
3,31-01-2015,03:10:05,31-01-2015,04:09:05,4,5,6,5800,6,500,1500,30,31,46,729
3,24-01-2015,01:47:46,24-01-2015,02:34:46,4,5,6,5500,6,500,1300,35,31,28,663
3,18-02-2015,02:56:08,18-02-2015,03:40:08,4,5,3,3400,3,600,1900,34,34,36,678
3,05-02-2015,02:17:09,05-02-2015,02:58:09,4,5,4,4900,4,600,2400,33,33,33,429
3,14-02-2015,01:27:19,14-02-2015,02:08:19,4,5,3,6000,2,1200,2400,24,24,21,285
3,17-02-2015,00:11:00,17-02-2015,00:56:00,4,5,1,1800,1,1800,1800,11,11,13,715
3,05-02-2015,20:18:13,05-02-2015,21:05:13,4,5,2,3600,2,1200,2400,20,20,18,891
3,04-02-2015,21:57:23,04-02-2015,22:33:23,4,5,1,1800,1,1800,1800,14,9,9,469
4,11-02-2015,01:07:54,11-02-2015,01:50:54,57,1,5,4600,5,600,1200,12,13,14,163
3,15-02-2015,05:32:36,15-02-2015,06:12:36,4,5,2,1600,2,600,1000,13,13,16,382
3,06-02-2015,22:41:27,06-02-2015,23:19:27,4,5,1,1500,1,1500,1500,12,14,15,446
3,29-01-2015,03:03:49,29-01-2015,03:40:49,4,5,4,5200,2,800,1800,35,30,29,406
2,13-02-2015,03:48:58,13-02-2015,04:32:58,55,2,4,2300,3,400,900,32,30,37,555
3,15-02-2015,02:16:23,15-02-2015,03:00:23,20,4,4,3250,4,725,945,29,29,32,456
3,12-02-2015,02:36:17,12-02-2015,03:20:17,20,1,5,2943,4,199,945,20,19,18,491
3,07-02-2015,02:12:18,07-02-2015,02:57:18,20,1,6,3628,5,199,945,34,23,18,691
3,25-01-2015,02:30:24,25-01-2015,03:27:24,20,1,4,2595,4,450,875,25,24,28,924
3,30-01-2015,02:59:15,30-01-2015,03:45:15,20,1,3,2355,3,475,935,23,23,27,512
3,31-01-2015,02:57:36,31-01-2015,03:36:36,46,1,3,1693,3,109,800,61,62,72,388
3,26-01-2015,02:51:14,26-01-2015,03:30:14,46,1,3,1967,3,269,899,41,28,27,749
3,01-02-2015,01:47:43,01-02-2015,02:28:43,46,1,3,2168,3,500,800,58,44,43,785
3,27-01-2015,00:45:03,27-01-2015,01:30:03,46,1,3,1889,3,350,800,14,13,14,587
3,12-02-2015,02:35:53,12-02-2015,03:12:53,46,1,2,1153,2,289,685,51,39,41,696
3,07-02-2015,01:25:26,07-02-2015,02:02:26,46,1,2,1658,2,779,879,32,32,37,178
3,14-02-2015,02:34:01,14-02-2015,03:16:01,46,1,5,3608,5,299,799,57,53,54,517
3,24-01-2015,03:27:33,24-01-2015,04:06:33,46,1,1,978,1,799,799,60,52,49,771
3,05-02-2015,20:05:59,05-02-2015,20:45:59,46,1,2,1706,2,749,789,23,23,23,603
3,07-02-2015,23:45:40,08-02-2015,00:28:40,46,1,2,1150,2,350,800,17,13,13,755
3,24-01-2015,03:10:14,24-01-2015,03:45:14,46,4,3,2600,3,685,800,60,59,56,529
3,07-02-2015,02:17:38,07-02-2015,02:56:38,46,1,2,884,2,199,685,58,57,60,531
3,16-02-2015,22:09:05,16-02-2015,22:53:05,58,3,1,1125,1,975,975,7,7,7,813
3,16-02-2015,00:30:26,16-02-2015,01:27:26,58,3,4,2600,4,150,1325,6,6,10,634
3,22-01-2015,18:37:17,22-01-2015,19:21:17,58,3,1,975,1,975,975,4,3,4,745
